title,City,Salary,Experience,experience_level,Job Type,functional_area,career_level,skills
Registered Nurse,Other,375000.0,1.0,Entry,Full Time,Health & Medicine,Entry Level,"Healthcare Professional, Patient Counseling, Monitor Patient Condition"
HR Assistant,Karachi,82639.59731543624,1.0,Entry,Full Time,Human Resources,Entry Level,"Employee Relation Management, HR Policy Formulation, Communication Skills"
Sales Representative,Hyderabad,65000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Retail Sales, Sales Management, Target Orientation Skills"
Admin / HR Officer,Karachi,70000.0,3.0,Junior,Full Time,Human Resources,Experienced Professional,"Administrative Management, Vendor Relations Management, Record Keeping, Compliance Management, Payroll Process, HR Information Management"
Branch Internal Auditor,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Interpersonal Skills, Communication Skills, Internal Audit"
Manager Product Development,Islamabad,162500.0,2.783132530120482,Junior,Full Time,Product Development,Experienced Professional,"Communication Skills, Product Development Process, Leadership Skills"
Assistant Accountant,Lahore,37500.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Accounts Management Skills, Accounts Software Command, MS Office, Coordination Skills"
Retail Sales Executive,Gujranwala,47500.0,2.783132530120482,Junior,Full Time,Retail,Experienced Professional,"Retail  Knowledge, Retail Product Management, Sales Coordination, Retail Products Knowledge, Sales Management, Communication Skills"
Business Development Executive,Lahore,70000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Market Research, B2B Business Development, Project Management, Business Development Strategies"
Team Lead - Call Center,Lahore,85000.0,1.0,Entry,Full Time,Operations,Entry Level,"Communication Skills, Training Development, Team Learning"
Admin Executive,Lahore,65000.0,2.0,Junior,Full Time,Administration,Experienced Professional,"Time Management, Communication Skills, Project Administration, Administrative Management, Admin Task Planning"
Admin / Inventory Control Assistant,Lahore,42500.0,2.783132530120482,Junior,Full Time,Administration,Entry Level,"Problem Solving Skills, Admin Tasks Management, Communication Skills"
Export Incharge,Karachi,55000.0,2.0,Junior,Full Time,Import & Export,Experienced Professional,"Export  Operations Management, Inventory Control Management, Communication Skills"
Marketing Coordinator,Lahore,55000.0,4.0,Mid,Full Time,Marketing,Experienced Professional,"Digital Marketing Analysis, Market Research, Communication Skills, Coordination Skills"
Customer Support Representative,Lahore,60000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Experienced Professional,"Customer Handling, Communication Skills, Customer Satisfaction Management"
Executive Assistant to the CEO,Rawalpindi,87500.0,2.783132530120482,Junior,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Admin Task Management, MS Excel, Documents Management"
Accountant,Lahore,30000.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Accounts Management, QuickBook Knowledge, Payroll Process"
Sales / Marketing Manager,Sialkot,55000.0,3.0,Junior,Full Time,Marketing,Experienced Professional,"Market Research, Team Collaboration, Sales Management, Communication Skills"
Full Stack Developer,Islamabad,75000.0,2.0,Junior,Full Time,Software & Web Development,Experienced Professional,"Web Application, Restful Architecture, Javascript, CSS, HTML, React, Django, Node.js, Google Cloud"
Social Media Manager,Rawalpindi,25000.0,1.0,Entry,Full Time,Marketing,Entry Level,"Social Media Strategises, Social Media Optimization, Social Media Handling"
Sales Executive,Lahore,82639.59731543624,1.0,Entry,Full Time,Telemarketing,Entry Level,"Fluent in English, Telemarketing Skills, Communication Skills"
Customer Sales Representative,Rawalpindi,50000.0,1.0,Entry,Full Time,Telemarketing,Entry Level,"Customer Handling, Fluent in English, Communication Skills"
Perfume Making Specialist,Lahore,82639.59731543624,1.0,Entry,Full Time,Manufacturing,Entry Level,"Love To Mkae Scents, Attention to Detail, Blending and Formulation Skills"
Virtual Assistant - Sales,Lahore,32500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Microsoft Office, Product Hunting, Internet Browsing, Communication Skills"
Site Supervisor,Lahore,55000.0,1.0,Entry,Full Time,Architects & Construction,Entry Level,"Reporting Abilities, Supervision Skills, Site Administration"
Customer Sales Agent / Closer,Rawalpindi,40000.0,1.0,Entry,Full Time,Telemarketing,Entry Level,"Telemarketing Skills, Communication Skills, Fluent in English"
Laravel Developer,Abbottabad,82639.59731543624,2.0,Junior,Other,Software & Web Development,Experienced Professional,"Visual Web Development, React JS, PHP"
Stock Manager,Rawalpindi,30000.0,2.783132530120482,Junior,Full Time,Warehousing,Experienced Professional,"Inventory Management, Stock Audit Planning, Stock Analyzes"
Sales Executive,Lahore,25000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"End to End Sales, Communication Skills, Sales Management"
Stock Keeper,Rawalpindi,35000.0,2.783132530120482,Junior,Full Time,Warehousing,Experienced Professional,"Stock Audit Planning, Stock Ledger Maintenance, Stock Analyzes, Stock Management"
Manager Corporate Partnerships,Islamabad,187500.0,5.0,Mid,Full Time,Corporate Affairs,Experienced Professional,"Relationship Management, Multitasking Skills, Fundraising Skills"
HR Operations Officer / Executive,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Human Resources,Experienced Professional,"HR Information Management, Employee Relations  Management, Payroll Processing"
Maintenance Engineer,Multan,52500.0,2.783132530120482,Junior,Full Time,Engineering,Entry Level,"Equipment Maintenance, Negotiations Skills, End  to End Sales"
Maintenance Engineer,Sargodha,52500.0,2.783132530120482,Junior,Full Time,Engineering,Entry Level,"Equipment Maintenance, Negotiations Skills, End  to End Sales"
Customer Service Representative,Islamabad,75000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Experienced Professional,"Relations Management Skills, Communication Skills, Fluent in English, Customer Satisfaction Management"
Tax Associate,Islamabad,82639.59731543624,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"SECP Filings, Tax Preparation Skills, Corporate Tax Filings"
Customer Sales Representative / Closer,Islamabad,55000.0,2.783132530120482,Junior,Full Time,Telemarketing,Experienced Professional,"Communication Skills, Telemarketing  Skills, Fluent in English"
Executive Secretary,Islamabad,65000.0,2.783132530120482,Junior,Full Time,"Secretarial, Clerical & Front Office",Experienced Professional,"Communication Skills, Meeting Scheduling, MS Excel, MS Word"
Web / App Developer,Islamabad,82639.59731543624,2.783132530120482,Junior,Full Time,Software & Web Development,Experienced Professional,"Javascript, Python, .Net, Full Stack Development"
Medical Billing / Accounts Receivable Executive,Lahore,85000.0,3.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Healthcare Billing, Compliance and Regulations, Accounts Receivable Management"
Sales Officer,Gujranwala,50000.0,3.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, Market Knowledge, Coordination Skills"
Chinese Translator / Interpreter,Other,125000.0,3.0,Junior,Other,Writer,Experienced Professional,"Proficient in Mandarin, Fluent in Chinese, Communication Skills, Reading Comprehension, HSK"
Sales Consultant / Manager,Faisalabad,15000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Persuasion Customer, Negotiation Skills, End-to-End Sale"
IT Officer,Lahore,65000.0,5.0,Mid,Full Time,Computer Networking,Experienced Professional,"Configuring Software, Computer Hardware Installation, Troubleshooting  Skills"
Software Engineer,Karachi,82639.59731543624,2.0,Junior,Full Time,Other,Not Specified,"Data Structures, Web Development, HTML CSS, Javascript, Core PHP, Laravel, React, GitHub, API Integration, team leader"
Credit Control Manager,Multan,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"Financial Analysis, Risk Assessment, Attention to Detail, Accounts Receivable Management"
Lead Auditor Corporate Responsibility,Karachi,82639.59731543624,8.0,Senior,Full Time,Other,Not Specified,"Compliance Management, Data Analysis, Regulatory Compliance Frameworks, environmental and corporate responsibility, Labour Law, Certified Lead Auditor"
Machine Learning Engineer,Lahore,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"Programming Skills, Probability and Statistics, data modeling and evaluation, Neural Networks, Natural Language Processing, TensorFlow, PyTorch, Python"
HR Intern,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Other,Not Specified,"Communication, Teamwork, Attention to Detail, Organizational Skills, Interpersonal Skills, Recruitment"
Data Entry Operator,Lahore,45000.0,1.0,Entry,Full Time,Other,Not Specified,"Software Proficiency, Knowledge of database management"
Data Scientish,Rawalpindi,50000.0,10.0,Senior,Full Time,Other,Not Specified,"Statistical Analysis, Machine Learning, Python Programming, SQL, Deep Learning"
Innovation Manager,Islamabad,82639.59731543624,1.0,Entry,Full Time,Other,Not Specified,"Creative Thinking, Strategic Planning, Project Management, Leadership, Problem Solving, Data Analysis, Communication, Design Thinking, Collaboration, Market Research, Agile Methodology, Lean Startup"
Growth and Outreach Specialist,Karachi,82639.59731543624,3.0,Junior,Full Time,Other,Not Specified,"Content Creation, Communication, Lead Generation, Linkedin Outreach"
Chief Security Supervisor,Lahore,62500.0,2.0,Junior,Full Time,Security,Experienced Professional,"Communication Skills, Analytical Skills, Leadership And Risk Management"
Customer Sales Agent,Lahore,80000.0,1.0,Entry,Full Time,Telemarketing,Entry Level,"Communication Skills, Fluent in English, Customer Dealing"
Sales Development Representative,Lahore,50000.0,2.783132530120482,Junior,Full Time,Telemarketing,Entry Level,"Fluent in English, Customer Handling, Communication Skills"
Team Lead - Sales,Lahore,125000.0,4.0,Mid,Full Time,Telemarketing,Experienced Professional,"Fluent in English, Communication Skills, Client Dealing"
Marketing Executive,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Marketing,Entry Level,"Event Marketing Strategies, Market Research, Communication Skills"
Admin Assistant,Islamabad,32500.0,3.0,Junior,Full Time,Administration,Experienced Professional,"Administrative Management, MS Office, Admin Assistance"
English Teacher,Islamabad,32500.0,3.0,Junior,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Activity Based Management, Communication Skills, Fluent in English"
Script Writer,Lahore,85000.0,2.0,Junior,Full Time,Writer,Experienced Professional,"`Online Research, News Writing, Communication Skills, Creative Writing"
Computer Teacher,Islamabad,32500.0,3.0,Junior,Full Time,"Teachers/Education, Training & Development",Experienced Professional,"Activity Based Management, Computer Proficient, Teacher Evaluation"
Software Developer,Lahore,60000.0,3.0,Junior,Full Time,Software & Web Development,Experienced Professional,"Softwares Design, Software Development, VB6, MySQL Server"
Assistant Manager - Youth,Islamabad,85000.0,3.0,Junior,Full Time,Public Relations,Experienced Professional,"Communication Skills, Admin Task Management, Public Relationship Management"
Senior Customer Support Executive,Lahore,150000.0,3.0,Junior,Full Time,Client Services & Customer Support,Experienced Professional,"Communication Skills, Fluent in English, Customer Satisfaction Management"
Operations Manager - Salon,Lahore,150000.0,4.0,Mid,Full Time,Operations,Experienced Professional,"Administrative Management, Client Relations  Management, Organized and Multitasking, Interpersonal Leadership, Internal Controls, Human Resource Management"
Sales Executive - Tourism,Islamabad,40000.0,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Compensation Design, Sales Operations, Sales Management, Corporate Sales Management, Customer Acquisition Skills"
Translator - Chinese to English,Islamabad,150000.0,2.783132530120482,Junior,Full Time,Writer,Entry Level,"Cultural Adaptation, Fluent in Chinese and English, Communication Skills"
Appointment Setter,Karachi,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Entry Level,"Communication Skills, Client Relations, Time Management"
Receptionist,Islamabad,82639.59731543624,1.0,Entry,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Record Keeping Skills, Receptionist Task Handling, Communication Skills"
Business Development Manager,Lahore,60000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Digital Marketing Analysis, B2B Business Development, Business Development Process"
Compliance Manager,Islamabad,97500.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Fluent in English, Compliance Assurance, Risk Compliance Management"
Jewelry Manufacturing Officer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Manufacturing,Experienced Professional,"Machine Manufacturing Knowledge, Hand Made Manufacturing, Diamond Jewelry Knowledge"
Driver,Karachi,82639.59731543624,3.0,Junior,Full Time,Distribution & Logistics,Experienced Professional,"Knowledge Of Route, Traffic Signs Knowledge, Valid Driving License"
Senior Graphic Designer,Lahore,77500.0,2.783132530120482,Junior,Part Time,Creative Design,Experienced Professional,"Creative Design, Adobe InDesign, Adobe Photoshop, Adobe Illustrator"
Unit Head HR,Lahore,250000.0,2.783132530120482,Junior,Full Time,Human Resources,Department Head,"Human Rights Research, Communication Skills, Human Recource Management"
Bank Documentation Specialist,Sialkot,45000.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Communication Skills, Document Drafting, Reconciliations"
Business Development Associate,Lahore,62500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Business Development Process, B2B Business Development, Communication Skills"
Technical Officer,Lahore,82639.59731543624,1.0,Entry,Full Time,Maintenance/Repair,Entry Level,"Technical Assistance, Communication Skills, Knowledge Of Validation Method"
Social Media Manager,Faisalabad,47500.0,1.0,Entry,Full Time,Marketing,Entry Level,"Social Media Handling, Creative Social Management, Social Advertising, Social Media Strategies, Social Media Optimization"
Customer Support Representative,Faisalabad,40000.0,2.0,Junior,Full Time,Telemarketing,Experienced Professional,"Customer Satisfaction Management, Communication Skills, Fluent in English"
Content Writer,Lahore,82639.59731543624,2.783132530120482,Junior,Full Time,Writer,Entry Level,"Creative Writing, Communication Skills, Content Creation"
Receptionist,Karachi,55000.0,1.0,Entry,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Front Office Support, Communication Skills, Receptionist Task Handling"
Social Media Marketing Specialist,Karachi,162500.0,2.0,Junior,Full Time,Marketing,Experienced Professional,"Social Media Strategies, Marketing Knowledge, PPC Knowledge"
Accounts Receivable Executive,Karachi,82639.59731543624,3.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Accounts Adminstration, Taxation Knowledge, Account Receivable Command"
Junior Manager Electrical / Instrument,Multan,95000.0,2.783132530120482,Junior,Full Time,Maintenance/Repair,Experienced Professional,"Instrument Maintenance, Electrical Troubleshooting, Electrical Controls Knowledge"
Hospital Director,Rawalpindi,82639.59731543624,2.783132530120482,Junior,Full Time,Operations,Department Head,"Admin Task Planning, Directors of Operations, Project Administration, Healthcare Industry Knowledge, Admin Tasks Management"
ISO Consultant / ISO Auditor,Lahore,625000.0,10.0,Senior,Part Time,Operations,Experienced Professional,"Fit and Gap Analysis, Management Consulting, Document Drafting"
Enterprise Architect – Laravel / PHP Framework,Lahore,82639.59731543624,10.0,Senior,Full Time,Software & Web Development,Experienced Professional,"MySQL, Cloud Services, PostgreSQL"
Sales Executive,Faisalabad,40000.0,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales Management, Communication Skills, End to End Sales"
Sales / Marketing Manager,Faisalabad,82639.59731543624,2.783132530120482,Junior,Full Time,Marketing,Experienced Professional,"Marketing Management, Marketing Strategies, Sales Management, Technical Product Sales"
Social Media Manager,Karachi,50000.0,1.0,Entry,Full Time,Marketing,Entry Level,"Social Media Optimization, Social Media Handling, Social Media Management"
Customer Service Executive,Islamabad,50000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Fluent in English, Travels Knowledge, Customer Satisfaction Management"
Branch Manager,Faisalabad,82639.59731543624,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Business Development Skills, Sales Management, Relationship Management, Project Leadership, Leadership Management"
Cashier,Lahore,42500.0,1.0,Entry,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Cash Operations, Record Keeping, Cash Balance Management, Cash Calculation, Cash Handling Skills"
Quantity Surveyor,Lahore,80000.0,7.0,Senior,Full Time,Architects & Construction,Experienced Professional,"Reporting Abilities, Communication Skills, Civil 3D, Land Administration, AutoCAD Design Software"
Android Developer,Islamabad,500000.0,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Knowledge Android Platform, Android SDK, Technical Skills"
Python Developer,Lahore,82639.59731543624,2.0,Junior,Full Time,Software & Web Development,Experienced Professional,"Haystack, Lang Chain, AWS Solution"
Customer Success Specialist - Non Voice,Islamabad,95000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Customer Satisfaction Management, Client Dealing, Communication Skills"
Video Editor,Lahore,37500.0,2.783132530120482,Junior,Full Time,Creative Design,Experienced Professional,"Digital Video Knowledge, Video Analytics, Video Ads Management, Video Effects Knowledge, Video Editing Techniques"
Social Media Manager / Digital Marketer,Lahore,42500.0,1.0,Entry,Full Time,Marketing,Entry Level,"Digital Marketing Analysis, Social Advertising, Digital Marketing Management, Social Media Strategies, Social Media Optimization"
Customer Success Specialist - Voice Program,Islamabad,95000.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Customer Satisfaction Management, Client Dealing, Communication Skills"
Associate Software Developer,Sialkot,55000.0,1.0,Entry,Full Time,Software & Web Development,Entry Level,"MS SQL Server, MS Access, Oracle E-Business Suite"
Assistant Admin Manager,Lahore,50000.0,3.0,Junior,Full Time,Administration,Experienced Professional,"Administrative Management, Admin Task Planning, Interpersonal Leadership"
Human Resource Officer,Lahore,47500.0,2.0,Junior,Full Time,Human Resources,Experienced Professional,"Recruitment Management, Team Building, HR Policies Command"
Business Development Officer,Lahore,75000.0,2.0,Junior,Full Time,Sales & Business Development,Experienced Professional,"Negotiation Skills, Client Relationship, Business Development"
Admission Officer,Lahore,42500.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Visa Process Handling, Admission  Management, Career Advisory, Student Affairs Handling, Student Counseling, Email List Management, Admission Handling, Career Counseling, International Admissions Handling, Admissions Counseling"
Real Estate Advisor,Rawalpindi,50000.0,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"Time Management Skills, Interpersonal Skills, Communication Skills"
Cashier,Islamabad,45000.0,2.783132530120482,Junior,Full Time,"Accounts, Finance & Financial Services",Entry Level,"Cash Flow Management, Cash Collection, Cash Handling"
Chat Support Officer,Lahore,18500.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Chat Support Skills, Live Chat Handling, Client Acquisition Skills"
Sales Executive,Lahore,82639.59731543624,1.0,Entry,Full Time,Sales & Business Development,Entry Level,"End to End Sales, Coordination Skills, Communication Skills"
Business Development Intern,Lahore,27500.0,2.783132530120482,Junior,Other,Sales & Business Development,Intern/Student,"Digital Marketing Analysis, Export Operation Knowledge, Lead Generation  Skills, B2B Business Development, Business Development Strategies"
Export Operations Manager,Karachi,45000.0,2.783132530120482,Junior,Full Time,Import & Export,Experienced Professional,"Export Administration, Operations Control, Export  Documentation"
Manager Admin,Karachi,137500.0,2.783132530120482,Junior,Full Time,Administration,Experienced Professional,"Data-driven Decision Making, Interpersonal Leadership, Labor Laws, Labor Management, Administrative Management"
React Developer,Rawalpindi,82639.59731543624,3.0,Junior,Full Time,Software & Web Development,Experienced Professional,"MongoDB, Next.js, TypeScriptn"
Officer Grade - IV Non-Graduate Program,Other,42500.0,2.783132530120482,Junior,Full Time,Client Services & Customer Support,Entry Level,"Admin Operations Management, Quick Learner, Market Knowledge, Customer Care Representation"
Accounts Officer,Lahore,40000.0,2.0,Junior,Full Time,"Accounts, Finance & Financial Services",Experienced Professional,"Financial Accounting, Accounts Management Skills, Field Task Management, Bookkeeping Skills, Admin Operations Management"
Software Engineer,Other,65000.0,2.783132530120482,Junior,Full Time,Software & Web Development,Entry Level,"Wordpress, Codeigniter, Laravel"
Sales Representative - Medical,Karachi,45000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Sales & Marketing, Marketing Skills, End to End Sales"
Senior Manager - Administration,Karachi,82639.59731543624,8.0,Senior,Full Time,Administration,Experienced Professional,"Problem Solving Skills, Time Management Skills, Safety Administration, Government Liaison, Vendor Relations Management, Technical Skills, Administrative Management, Leadership Skills"
Performance Marketing Executive,Lahore,137500.0,3.0,Junior,Full Time,Marketing,Experienced Professional,"Digital Marketing Analysis, Sales Performance, Brand Performance Management, Lead Generation"
Electrical Engineer,Islamabad,82639.59731543624,7.0,Senior,Full Time,Engineering,Experienced Professional,"Supervision Skills, Communication Skills, Circuit Design, Power Distribution Skills, Electrical Repairing Skills"
Solar Designer - PVSol / PVsyst,Lahore,65000.0,2.0,Junior,Full Time,Engineering,Experienced Professional,"Digital Sketching, PVSol, PVsyst"
Web Developer,Lahore,110000.0,2.783132530120482,Junior,Full Time,Software & Web Development,Experienced Professional,"MySQL, Web Solutions, CakePHP"
Executive Secretary,Lahore,85000.0,2.783132530120482,Junior,Full Time,"Secretarial, Clerical & Front Office",Entry Level,"Microsoft Office, Office Support, Client Dealing, Information Desk Handling"
Caller Center Agent - Outbound,Karachi,25000.0,1.0,Entry,Full Time,Telemarketing,Entry Level,"Computer Proficient, Fluent in English, Communication Skills"
Sales Executive,Lahore,150000.0,2.783132530120482,Junior,Full Time,Sales & Business Development,Experienced Professional,"Coordination Skills, Communication Skills, IT Sales"
